date,open,high,low,close,volume,prev_close,daily_return,buy_signal
2022-06-08,16500.0,16550.0,16050.0,16050.0,413845,16300.0,-0.015337423312883436,False
2022-06-09,16050.0,16500.0,16000.0,16500.0,962019,16050.0,0.028037383177570093,True
2022-06-10,16500.0,17100.0,16350.0,16500.0,1518159,16500.0,0.0,False
2022-06-13,16400.0,16450.0,15900.0,16050.0,786127,16500.0,-0.02727272727272727,False
2022-06-14,15850.0,16000.0,15200.0,15550.0,925346,16050.0,-0.03115264797507788,False
2022-06-15,15400.0,15550.0,14750.0,14800.0,724069,15550.0,-0.04823151125401929,False
2022-06-16,14800.0,15100.0,14550.0,14600.0,663594,14800.0,-0.013513513513513514,False
2022-06-17,14200.0,14850.0,14150.0,14600.0,611495,14600.0,0.0,False
2022-06-20,15050.0,15050.0,14100.0,14250.0,553178,14600.0,-0.023972602739726026,False
2022-06-21,14250.0,14550.0,14050.0,14300.0,575690,14250.0,0.0035087719298245615,False
2022-06-22,14550.0,14550.0,13150.0,13150.0,1098176,14300.0,-0.08041958041958042,False
2022-06-23,13100.0,13500.0,12750.0,12950.0,800225,13150.0,-0.015209125475285171,False
2022-06-24,12750.0,13750.0,12750.0,13700.0,572207,12950.0,0.05791505791505792,True
2022-06-27,13750.0,13950.0,13550.0,13900.0,419099,13700.0,0.014598540145985401,True
2022-06-28,13900.0,14400.0,13750.0,14150.0,381394,13900.0,0.017985611510791366,True
2022-06-29,13950.0,14300.0,13850.0,14150.0,426226,14150.0,0.0,False
2022-06-30,14150.0,14350.0,13850.0,13950.0,413812,14150.0,-0.014134275618374558,False
2022-07-01,14050.0,14450.0,13950.0,14150.0,435877,13950.0,0.014336917562724014,True
2022-07-04,14300.0,14300.0,13350.0,13600.0,488105,14150.0,-0.038869257950530034,False
2022-07-05,13600.0,13800.0,13200.0,13350.0,714762,13600.0,-0.01838235294117647,False
2022-07-06,13200.0,13350.0,12850.0,12850.0,486781,13350.0,-0.03745318352059925,False
2022-07-07,13000.0,13050.0,12600.0,12850.0,598631,12850.0,0.0,False
2022-07-08,13050.0,13200.0,12800.0,12800.0,502955,12850.0,-0.0038910505836575876,False
2022-07-11,12850.0,13000.0,12700.0,12850.0,345875,12800.0,0.00390625,False
2022-07-12,12850.0,12850.0,12100.0,12200.0,740900,12850.0,-0.05058365758754864,False
2022-07-13,12250.0,12450.0,12100.0,12350.0,310739,12200.0,0.012295081967213115,True
2022-07-14,12250.0,12650.0,12200.0,12400.0,396802,12350.0,0.004048582995951417,False
2022-07-15,12450.0,12550.0,11950.0,12250.0,383157,12400.0,-0.012096774193548387,False
2022-07-18,12450.0,12900.0,12400.0,12900.0,521820,12250.0,0.053061224489795916,True
2022-07-19,13100.0,13450.0,12950.0,12950.0,860138,12900.0,0.003875968992248062,False
2022-07-20,13250.0,13250.0,12900.0,13000.0,327104,12950.0,0.003861003861003861,False
2022-07-21,13000.0,13150.0,12900.0,13100.0,255795,13000.0,0.007692307692307693,False
2022-07-22,13150.0,13700.0,13100.0,13500.0,906063,13100.0,0.030534351145038167,True
2022-07-25,13600.0,14500.0,13450.0,14050.0,1298080,13500.0,0.040740740740740744,True
2022-07-26,14100.0,14350.0,13850.0,14000.0,607093,14050.0,-0.0035587188612099642,False
2022-07-27,14000.0,14100.0,13800.0,14050.0,299351,14000.0,0.0035714285714285713,False
2022-07-28,14300.0,14550.0,14050.0,14200.0,618375,14050.0,0.010676156583629894,True
2022-07-29,14250.0,14850.0,13800.0,14550.0,2462040,14200.0,0.02464788732394366,True
2022-08-01,14650.0,14750.0,14150.0,14150.0,978158,14550.0,-0.027491408934707903,False
2022-08-02,14200.0,15300.0,14150.0,14600.0,2380538,14150.0,0.03180212014134275,True
2022-08-03,14600.0,14750.0,14300.0,14400.0,620539,14600.0,-0.0136986301369863,False
2022-08-04,14500.0,14650.0,14300.0,14300.0,448829,14400.0,-0.006944444444444444,False
2022-08-05,14400.0,14600.0,14300.0,14550.0,480264,14300.0,0.017482517482517484,True
2022-08-08,14550.0,15500.0,14400.0,15350.0,1327266,14550.0,0.054982817869415807,True
2022-08-09,15300.0,15650.0,15050.0,15350.0,1099335,15350.0,0.0,False
2022-08-10,15400.0,15700.0,15250.0,15350.0,570394,15350.0,0.0,False
2022-08-11,15400.0,15550.0,15200.0,15500.0,606827,15350.0,0.009771986970684038,False
2022-08-12,15500.0,15700.0,15200.0,15250.0,501447,15500.0,-0.016129032258064516,False
2022-08-16,15300.0,15600.0,15250.0,15250.0,506978,15250.0,0.0,False
2022-08-17,15200.0,15400.0,14950.0,15000.0,464875,15250.0,-0.01639344262295082,False
2022-08-18,15000.0,15400.0,14850.0,15300.0,475042,15000.0,0.02,True
2022-08-19,15400.0,15650.0,15050.0,15100.0,486250,15300.0,-0.013071895424836602,False
2022-08-22,15000.0,15050.0,14800.0,14900.0,335874,15100.0,-0.013245033112582781,False
2022-08-23,14750.0,15250.0,14700.0,14900.0,506918,14900.0,0.0,False
2022-08-24,15000.0,15550.0,14950.0,15300.0,1163723,14900.0,0.026845637583892617,True
2022-08-25,15500.0,15500.0,15100.0,15100.0,580373,15300.0,-0.013071895424836602,False
2022-08-26,15250.0,16000.0,15050.0,15800.0,2034636,15100.0,0.046357615894039736,True
2022-08-29,15350.0,16050.0,15100.0,15500.0,1452269,15800.0,-0.0189873417721519,False
2022-08-30,15750.0,16000.0,15300.0,15400.0,1113487,15500.0,-0.0064516129032258064,False
2022-08-31,15350.0,15650.0,14900.0,15550.0,896806,15400.0,0.00974025974025974,False
2022-09-01,15450.0,16200.0,15350.0,15600.0,1971291,15550.0,0.003215434083601286,False
2022-09-02,15700.0,15800.0,15100.0,15150.0,967302,15600.0,-0.028846153846153848,False
2022-09-05,15200.0,15700.0,14950.0,15400.0,795310,15150.0,0.0165016501650165,True
2022-09-06,15500.0,15750.0,15300.0,15450.0,449389,15400.0,0.003246753246753247,False
2022-09-07,15600.0,16150.0,14950.0,15000.0,1727091,15450.0,-0.02912621359223301,False
2022-09-08,15250.0,15300.0,14800.0,14950.0,726353,15000.0,-0.0033333333333333335,False
2022-09-13,15150.0,15300.0,14450.0,14800.0,905950,14950.0,-0.010033444816053512,False
2022-09-14,14400.0,14850.0,14300.0,14750.0,497853,14800.0,-0.0033783783783783786,False
2022-09-15,14750.0,15150.0,14550.0,14600.0,595683,14750.0,-0.010169491525423728,False
2022-09-16,14500.0,14500.0,14100.0,14100.0,644032,14600.0,-0.03424657534246575,False
2022-09-19,14200.0,14350.0,13800.0,13850.0,524706,14100.0,-0.01773049645390071,False
2022-09-20,13950.0,14150.0,13800.0,14000.0,438247,13850.0,0.010830324909747292,True
2022-09-21,13850.0,14100.0,13700.0,13850.0,447895,14000.0,-0.010714285714285714,False
2022-09-22,13800.0,14000.0,13500.0,13750.0,394305,13850.0,-0.007220216606498195,False
2022-09-23,13750.0,13900.0,13100.0,13250.0,689462,13750.0,-0.03636363636363636,False
2022-09-26,13050.0,13200.0,12200.0,12300.0,1939759,13250.0,-0.07169811320754717,False
2022-09-27,12100.0,12250.0,11500.0,12100.0,1587442,12300.0,-0.016260162601626018,False
2022-09-28,12050.0,12050.0,10950.0,11200.0,2538341,12100.0,-0.0743801652892562,False
2022-09-29,11350.0,11650.0,10900.0,11000.0,1301746,11200.0,-0.017857142857142856,False
2022-09-30,10750.0,11200.0,10650.0,11050.0,746664,11000.0,0.004545454545454545,False
2022-10-04,11300.0,11500.0,11000.0,11150.0,925165,11050.0,0.00904977375565611,False
2022-10-05,11350.0,11500.0,10900.0,11100.0,855578,11150.0,-0.004484304932735426,False
2022-10-06,11200.0,11350.0,11100.0,11250.0,395902,11100.0,0.013513513513513514,True
2022-10-07,11200.0,11200.0,10900.0,11100.0,590317,11250.0,-0.013333333333333334,False
2022-10-11,10950.0,11200.0,10750.0,10800.0,617035,11100.0,-0.02702702702702703,False
2022-10-12,10700.0,10950.0,10500.0,10900.0,456802,10800.0,0.009259259259259259,False
2022-10-13,10850.0,10850.0,10150.0,10250.0,998663,10900.0,-0.05963302752293578,False
2022-10-14,10400.0,10750.0,10400.0,10650.0,564835,10250.0,0.03902439024390244,True
2022-10-17,10600.0,11250.0,10350.0,11050.0,826275,10650.0,0.03755868544600939,True
2022-10-18,11250.0,11350.0,11000.0,11150.0,584779,11050.0,0.00904977375565611,False
2022-10-19,11200.0,11300.0,10900.0,10950.0,585105,11150.0,-0.017937219730941704,False
2022-10-20,11050.0,11200.0,10800.0,10950.0,436096,10950.0,0.0,False
2022-10-21,10950.0,11050.0,10800.0,10900.0,298411,10950.0,-0.0045662100456621,False
2022-10-24,11100.0,11350.0,11100.0,11150.0,501971,10900.0,0.022935779816513763,True
2022-10-25,11200.0,11250.0,11000.0,11050.0,300676,11150.0,-0.008968609865470852,False
2022-10-26,11100.0,11250.0,10950.0,11000.0,420814,11050.0,-0.004524886877828055,False
2022-10-27,11050.0,11250.0,10900.0,11150.0,641770,11000.0,0.013636363636363636,True
2022-10-28,11150.0,11400.0,11000.0,11050.0,466939,11150.0,-0.008968609865470852,False
2022-10-31,11050.0,11150.0,10800.0,11150.0,524611,11050.0,0.00904977375565611,False
2022-11-01,11150.0,11650.0,11100.0,11550.0,709410,11150.0,0.03587443946188341,True
2022-11-02,11650.0,11900.0,11450.0,11550.0,912153,11550.0,0.0,False
2022-11-03,11400.0,11750.0,11300.0,11600.0,625222,11550.0,0.004329004329004329,False
2022-11-04,11550.0,11750.0,11450.0,11600.0,391027,11600.0,0.0,False
2022-11-07,11750.0,11850.0,11400.0,11500.0,505592,11600.0,-0.008620689655172414,False
2022-11-08,11550.0,11650.0,11450.0,11600.0,291726,11500.0,0.008695652173913044,False
2022-11-09,11650.0,11900.0,11600.0,11700.0,428206,11600.0,0.008620689655172414,False
2022-11-10,11600.0,11800.0,11450.0,11500.0,594430,11700.0,-0.017094017094017096,False
2022-11-11,11800.0,11900.0,11600.0,11800.0,513644,11500.0,0.02608695652173913,True
2022-11-14,11800.0,11900.0,11650.0,11700.0,460088,11800.0,-0.00847457627118644,False
2022-11-15,11700.0,12600.0,11650.0,12200.0,1303810,11700.0,0.042735042735042736,True
2022-11-16,12350.0,12400.0,11900.0,12000.0,675012,12200.0,-0.01639344262295082,False
2022-11-17,12050.0,12250.0,11700.0,11750.0,555790,12000.0,-0.020833333333333332,False
2022-11-18,11750.0,12000.0,11650.0,11750.0,443176,11750.0,0.0,False
2022-11-21,11850.0,11850.0,11550.0,11700.0,420938,11750.0,-0.00425531914893617,False
2022-11-22,11700.0,11800.0,11550.0,11600.0,417783,11700.0,-0.008547008547008548,False
2022-11-23,11700.0,11750.0,11450.0,11650.0,373182,11600.0,0.004310344827586207,False
2022-11-24,11700.0,11800.0,11650.0,11700.0,265692,11650.0,0.004291845493562232,False
2022-11-25,11700.0,11800.0,11550.0,11600.0,236758,11700.0,-0.008547008547008548,False
2022-11-28,11600.0,11800.0,11350.0,11400.0,417912,11600.0,-0.017241379310344827,False
2022-11-29,11350.0,11600.0,11300.0,11550.0,293936,11400.0,0.013157894736842105,True
2022-11-30,11550.0,11650.0,11400.0,11500.0,447014,11550.0,-0.004329004329004329,False
2022-12-01,11600.0,11750.0,11550.0,11650.0,437961,11500.0,0.013043478260869565,True
2022-12-02,11650.0,11650.0,11250.0,11350.0,618626,11650.0,-0.02575107296137339,False
2022-12-05,11350.0,11400.0,11050.0,11200.0,524440,11350.0,-0.013215859030837005,False
2022-12-06,11050.0,11100.0,10900.0,10900.0,424038,11200.0,-0.026785714285714284,False
